activity_month,account_id,brand_id,reg_date,ftd_date,qp_date,ben_login_id,tracker_id,player_reg_product,total_deposit,total_handle,total_ngr,months_active
2023-11-01,158240816,PA,2023-02-27,2023-10-25,2023-10-25,BCUSA22N,7097293,BETTING,259.54,938.27,123.99,1
2023-11-01,161464115,OH,2022-12-25,2022-12-25,2023-01-01,actionnetwork,7039239,BETTING,0.0,26.0,11.96,11
2023-11-01,169240786,TN,2023-09-15,2023-09-19,2023-10-13,actionnetwork,7103466,BETTING,100.0,80.0,53.8,2
2023-11-01,154746776,MD,2022-11-13,2022-11-23,2022-11-23,BCUSA22N,7086896,BETTING,0.0,79.94,0.23,12
2023-11-01,184776384,PA,2023-11-14,2023-11-14,2023-11-15,BCUSA22NP,7103550,CASINO,1300.0,32569.9,707.85,0
2023-11-01,185233997,IS,2023-11-22,2023-11-22,2023-11-22,BCUSA22NP,7104570,BETTING,10.0,15.0,11.03,0
2023-11-01,185545229,GM,2023-11-29,2023-11-29,2023-11-29,BCUSA22N,7106974,BETTING,10.0,20.0,7.17,0
2023-11-01,157095584,OH,2023-01-20,2023-01-20,2023-01-20,actionnetwork,7088875,BETTING,0.0,10.0,8.0,10
2023-11-01,180988060,VA,2023-10-22,2023-10-22,2023-10-22,actionnetwork,7106988,BETTING,0.0,5.0,-3.41,1
2023-11-01,155424433,MD,2022-12-06,2022-12-06,2022-12-07,starsportsmx,7077217,BETTING,10.0,5.0,3.53,11
2023-11-01,171789257,IS,2023-09-29,2023-10-27,2023-10-27,starsportsmx,7077218,BETTING,65.06,80.06,58.61,1
2023-11-01,171712512,KY,2023-09-28,2023-09-28,2023-09-28,BCUSA22NP,7106979,BETTING,100.0,0.0,-2.2,2
2023-11-01,167465118,PA,2022-12-24,2022-12-24,2022-12-24,starsportsmx,7080479,BETTING,35.0,25.0,12.73,11
2023-11-01,185093488,IA,2023-11-19,2023-11-19,2023-11-19,starsportsmx,7106940,BETTING,20.0,15.0,2.89,0
2023-11-01,171008946,NO,2023-09-22,2023-09-22,2023-09-24,actionnetwork,7086644,BETTING,0.0,0.0,0.09,2
2023-11-01,177108069,KS,2023-10-11,2023-10-11,2023-10-11,BCUSA22N,7106934,BETTING,0.0,25.95,-0.46,1
2023-11-01,182959211,NY,2023-11-01,2023-11-03,2023-11-03,BCUSA22NP,7106979,BETTING,60.0,250.5,-43.86,0
2023-11-01,185129950,OH,2023-11-20,2023-11-20,2023-11-20,actionnetwork,7106986,BETTING,10.0,221.22,167.78,0
2023-11-01,167287041,TN,2022-11-05,2022-11-05,2022-11-05,actionnetwork,7074086,BETTING,0.0,10.0,7.0,12
2023-11-01,155851779,OH,2022-12-29,2022-12-29,2023-01-01,starsportsmx,7080479,BETTING,0.0,21.0,0.78,11
2023-11-01,155077814,VA,2022-11-25,2022-11-25,2022-11-25,starsportsmx,7077216,BETTING,0.0,25.0,18.75,12
2023-11-01,184913450,IA,2023-11-17,2023-11-17,2023-12-10,BCUSA22NP,7106981,BETTING,10.0,0.0,-0.22,0
2023-11-01,166795256,NY,2023-03-14,2023-07-09,2023-07-15,actionnetwork,7090695,BETTING,0.0,550.25,-39.74,4
2023-11-01,158650540,GM,2023-03-18,2023-03-18,2023-03-18,BCUSA22NP,7094122,BETTING,60.0,69.17,51.94,8
2023-11-01,185341911,IA,2023-11-24,2023-11-24,2023-11-24,BCUSA22NP,7106981,BETTING,10.0,210.0,174.6,0
2023-11-01,182947290,IS,2023-11-01,2023-11-01,2023-11-01,BCUSA22NP,7106981,BETTING,25.0,210.0,96.72,0
2023-11-01,154370613,IS,2022-10-16,2022-10-16,2022-10-16,BCUSA22N,7089784,BETTING,0.0,1380.0,-324.72,13
2023-11-01,173477434,OH,2023-10-02,2023-10-02,2023-10-05,actionnetwork,7106988,BETTING,0.0,10.0,8.0,1
2023-11-01,184807032,IS,2023-11-14,2023-11-14,2023-11-14,actionnetwork,7106986,BETTING,12.0,212.0,158.73,0
2023-11-01,184832879,MD,2023-11-15,2023-11-15,2023-11-15,actionnetwork,7106987,BETTING,20.0,220.0,119.56,0
2023-11-01,154560030,MI,2022-11-02,2022-12-23,2022-12-23,starsportsmx,7081623,CASINO,0.0,98.2,-3.28,11
2023-11-01,166024298,PA,2023-08-29,2023-09-14,2023-09-14,BCUSA22N,7086399,CASINO,1729.54,14689.9,-336.7,2
2023-11-01,184822975,IN,2023-11-15,2023-11-15,2023-11-15,BCUSA22N,7106931,BETTING,12.0,212.0,83.33,0
2023-01-01,155605067,IS,2022-12-17,2022-12-17,2022-12-17,BCUSA22N,7086400,BETTING,40.0,55.0,32.12,1
2023-01-01,153839992,IS,2022-09-11,2022-09-11,2022-09-11,actionnetwork,7084488,BETTING,75.0,125.0,123.35,4
2023-01-01,153262858,KS,2022-08-19,2022-09-10,2022-09-10,starsportsmx,7080479,BETTING,10.0,105.0,85.28,4
2023-01-01,153282419,KS,2022-08-22,2022-09-11,2022-09-11,starsportsmx,7073828,BETTING,0.0,5.0,4.5,4
2023-01-01,154808171,MD,2022-11-16,2022-12-08,2022-12-08,actionnetwork,7039239,BETTING,0.0,20.0,20.0,1
2023-01-01,154457680,TN,2022-10-24,2022-12-15,2022-12-15,actionnetwork,7042803,BETTING,517.81,529.09,322.83,1
2023-01-01,153405632,KS,2022-08-31,2022-08-31,2022-09-02,BCUSA22L,7037834,BETTING,0.0,132.0,32.52,5
2023-01-01,156034389,WY,2023-01-01,2023-01-01,2023-01-29,starsportsmx,7080479,BETTING,100.0,100.0,87.8,0
2023-01-01,154469601,IS,2022-10-25,2022-10-25,2022-10-25,actionnetwork,7090695,BETTING,0.0,315.0,215.0,3
2023-01-01,154141896,IS,2022-09-26,2022-09-26,2022-09-26,actionnetwork,7088875,BETTING,100.0,185.0,56.67,4
2023-01-01,156134916,OH,2023-01-03,2023-01-03,2023-01-03,starsportsmx,7080479,BETTING,20.0,47.0,26.56,0
2023-01-01,154932245,MD,2022-11-21,2022-12-03,2022-12-03,actionnetwork,7039239,BETTING,100.0,120.0,17.8,1
2023-01-01,156005334,OH,2023-01-01,2023-01-01,2023-01-01,starsportsmx,7077216,BETTING,50.0,909.32,227.15,0
2023-01-01,154181178,KS,2022-09-29,2022-09-29,2022-10-01,actionnetwork,7034205,BETTING,0.0,10.0,9.0,4
2023-01-01,155519685,OH,2022-12-11,2023-01-01,2023-01-01,actionnetwork,7039239,BETTING,25.0,735.32,-93.82,0
2023-01-01,155670257,OH,2022-12-20,2023-01-08,2023-01-15,starsportsmx,7080479,BETTING,10.0,320.0,-15.22,0
2023-01-01,154086590,MI,2022-09-22,2022-09-22,2022-09-22,starsportsmx,7082605,CASINO,0.0,0.0,0.0,4
2023-01-01,154788880,ER,2022-11-15,2022-11-15,2022-11-15,starsportsmx,7047070,CASINO,0.0,0.0,0.0,2
2023-01-01,155288260,AZ,2022-12-01,2022-12-01,2022-12-01,actionnetwork,7074086,BETTING,1938.0,5760.3,350.01,1
2023-01-01,156934367,IN,2023-01-14,2023-01-14,2023-01-15,BCUSA22N,7086400,BETTING,10.0,20.0,17.78,0
2023-01-01,153565106,CA,2022-09-07,2022-09-07,2022-09-12,BCCSB22,7081751,BETTING,0.0,3.7,2.96,4
2023-01-01,156877779,IS,2023-01-12,2023-01-12,2023-01-14,actionnetwork,7088876,BETTING,35.0,250.0,-87.71,0
2023-01-01,156656994,OH,2023-01-08,2023-01-08,2023-01-08,starsportsmx,7077216,BETTING,200.0,220.0,67.98,0
2023-01-01,153920460,KS,2022-09-12,2022-09-12,2022-09-12,BCUSA22N,7086829,BETTING,10.0,10.0,8.78,4
2023-01-01,156538184,OH,2023-01-06,2023-01-07,2023-01-07,starsportsmx,7073828,BETTING,20.0,220.0,219.56,0
2023-01-01,156916546,NY,2023-01-14,2023-01-14,2023-01-14,starsportsmx,7080479,BETTING,10.0,10.0,4.68,0
2023-01-01,156898876,NY,2023-01-13,2023-01-13,2023-01-13,BCUSA22N,7086400,BETTING,35.0,34.0,15.89,0
2023-01-01,157124908,MI,2023-01-21,2023-01-21,2023-01-21,BCUSA22N,7087246,BETTING,25.0,55.0,48.57,0
2023-01-01,153316978,KS,2022-08-23,2022-08-31,2022-09-01,actionnetwork,7039239,BETTING,0.0,263.26,-7.36,5
2023-06-01,153500976,KS,2022-03-09,2022-03-09,2022-09-10,actionnetwork,7039239,BETTING,0.0,175.0,36.1,15
2023-06-01,159533730,PA,2023-05-19,2023-05-22,2023-05-22,starsportsmx,7077220,CASINO,0.0,0.0,0.0,1
2023-06-01,158822687,TN,2023-03-28,2023-03-28,2023-03-28,BCUSA22N,7098692,BETTING,0.0,40.0,-10.2,3
2023-06-01,159454403,PA,2023-12-05,2023-05-22,2023-05-22,starsportsmx,7077220,CASINO,0.0,0.0,0.0,1
2023-06-01,154462720,PA,2022-10-24,2022-10-24,2022-10-24,starsportsmx,7080479,BETTING,0.0,0.0,20.0,8
2023-06-01,154808372,MD,2022-11-16,2022-12-03,2022-12-03,actionnetwork,7039239,BETTING,0.0,5.0,4.25,6
2023-06-01,156020003,OH,2023-01-01,2023-01-01,2023-01-01,actionnetwork,7088875,BETTING,0.0,249.97,26.09,5
2023-06-01,157166031,OH,2023-01-22,2023-01-22,2023-01-22,BCUSA22N,7093690,BETTING,60.0,3841.76,-74.19,5
2023-06-01,158605327,MA,2023-03-16,2023-03-16,2023-03-16,actionnetwork,7089467,BETTING,45.0,391.38,-106.52,3
2023-06-01,158880474,PA,2023-01-04,2023-01-04,2023-04-01,starsportsmx,7080479,BETTING,25.0,293.0,-40.5,5
2023-06-01,155517068,NY,2022-11-12,2022-12-12,2023-07-28,BCUSA22N,7086400,BETTING,1000.0,0.0,-22.0,6
2023-06-01,158952744,NE,2023-06-04,2023-06-04,2023-05-13,BCUSA22L,7099244,CASINO,10.0,443.0,-19.65,0
2023-06-01,159306006,MA,2023-01-05,2023-01-05,2023-05-02,actionnetwork,7102086,BETTING,0.0,147.0,22.2,5
2023-06-01,155113068,MD,2022-11-26,2022-11-26,2022-11-26,actionnetwork,7088004,BETTING,350.0,2032.38,338.77,7
2023-06-01,158847727,GM,2023-03-30,2023-03-30,2023-03-30,BCUSA22N,7086400,BETTING,10.0,16.0,-7.0,3
2023-06-01,156542820,OH,2023-06-01,2023-06-01,2023-01-07,starsportsmx,7077216,BETTING,0.0,5.0,4.5,0
2023-06-01,158562552,IS,2023-03-15,2023-03-16,2023-03-16,BCUSA22N,7098692,BETTING,300.0,300.0,248.4,3
2023-06-01,156976996,OH,2023-01-16,2023-01-16,2023-01-17,actionnetwork,7085871,BETTING,25.0,24.0,18.27,5
2023-06-01,157441841,VA,2023-01-28,2023-01-28,2023-02-12,actionnetwork,7071078,BETTING,0.0,2890.0,-28.11,5
2023-06-01,159268767,NY,2023-04-28,2023-04-28,2023-04-28,BCUSA22NP,7101962,BETTING,500.0,6901.1,-365.68,2
2023-06-01,155956563,OH,2022-12-31,2022-12-31,2023-01-01,actionnetwork,7039239,BETTING,0.0,1532.87,350.42,6
2023-06-01,157185644,MI,2023-01-22,2023-01-22,2023-01-22,BCUSA22N,7088372,BETTING,325.0,558.7,121.21,5
2023-06-01,154332521,DC,2022-12-10,2022-12-10,2022-10-12,BCUSA22N,7086400,BETTING,200.0,40.0,31.6,6
2023-06-01,155119200,IS,2022-11-26,2022-11-26,2022-11-26,starsportsmx,7080479,BETTING,0.0,110.0,32.34,7
2023-06-01,154795163,KS,2022-11-16,2022-11-16,2022-11-16,actionnetwork,7090695,BETTING,0.0,6.0,5.4,7
2023-06-01,154345592,TN,2022-10-13,2022-10-13,2022-10-13,BCUSA22N,7086400,BETTING,0.0,25.0,-34.4,8
2023-06-01,154575453,OH,2022-03-11,2022-07-12,2023-01-01,actionnetwork,7039239,BETTING,20.0,528.38,54.14,11
2023-06-01,154299577,DC,2022-08-10,2022-08-10,2022-10-08,starsportsmx,7080479,BETTING,370.0,871.0,153.84,10
2023-06-01,155991153,OH,2023-01-01,2023-04-01,2023-01-06,actionnetwork,7039239,BETTING,0.0,85.35,52.64,2
2023-06-01,158883526,PA,2023-01-04,2023-01-04,2023-06-12,actionnetwork,7101265,BETTING,0.0,30.0,19.69,5
2023-06-01,155692678,OH,2022-12-21,2022-12-21,2023-04-25,actionnetwork,7039239,BETTING,0.0,532.02,1.34,6
2023-06-01,158596213,MA,2023-03-16,2023-03-16,2023-03-16,actionnetwork,7074086,BETTING,0.0,42.0,16.4,3
2023-06-01,153516674,NY,2022-05-09,2022-05-09,2022-09-10,BCUSA22L,7072969,BETTING,0.0,75.0,36.75,13
2023-06-01,154732933,MD,2022-11-13,2023-03-20,2023-03-20,actionnetwork,7039239,BETTING,0.0,225.0,-77.56,3
2023-06-01,155859536,OH,2022-12-29,2023-02-24,2023-02-24,actionnetwork,7039239,BETTING,0.0,379.0,-33.07,4
2023-06-01,154756871,MD,2022-11-14,2023-03-11,2023-05-02,actionnetwork,7039239,BETTING,0.0,651.82,-123.9,3
2023-06-01,159323314,MA,2023-02-05,2023-02-05,2023-05-02,actionnetwork,7088875,BETTING,0.0,0.0,-20.0,4
2023-06-01,159741112,PA,2023-06-06,2023-06-06,2023-06-06,actionnetwork,7101260,BETTING,260.0,814.5,87.81,0
2023-06-01,159087923,MA,2023-04-16,2023-04-16,2023-04-16,BCUSA22N,7090656,BETTING,0.0,21.0,16.8,2
2023-06-01,153933346,WV,2022-12-09,2022-12-09,2022-09-12,actionnetwork,7084488,BETTING,0.0,519.9,32.97,6
2023-06-01,159225801,TN,2023-04-25,2023-04-30,2023-04-30,BCUSA22N,7086400,BETTING,800.0,1127.75,-68.44,2
2023-06-01,153987589,KS,2022-09-15,2022-09-15,2022-09-15,starsportsmx,7077218,BETTING,0.0,79.6,-35.97,9
2023-06-01,157451702,IA,2023-01-28,2023-01-28,2023-02-01,BCUSA22N,7088372,BETTING,0.0,22.0,20.51,5
2023-06-01,155945274,OH,2022-12-31,2023-02-25,2023-02-25,actionnetwork,7039239,BETTING,0.0,14.5,9.0,4
2023-06-01,158246324,CA,2023-02-28,2023-02-28,2023-04-14,actionnetwork,7090895,BETTING,0.0,302.86,10.36,4
2023-06-01,153443360,AZ,2022-02-09,2022-02-09,2022-09-03,starsportsmx,7077216,BETTING,0.0,8.0,7.2,16
2023-01-01,156031270,MD,2023-01-01,2023-01-01,2023-01-01,actionnetwork,7092553,BETTING,110.0,270.0,60.08,0
2023-01-01,156137926,LA,2023-01-03,2023-01-03,2023-02-12,actionnetwork,7090703,BETTING,20.0,10.0,-0.05,0
2023-01-01,157072449,IN,2023-01-19,2023-01-19,2023-01-19,starsportsmx,7077214,BETTING,250.0,285.0,117.5,0
2023-01-01,153436234,GM,2022-09-02,2022-09-02,2022-09-02,BCUSA22N,7086400,BETTING,1315.15,2348.02,-559.68,4
2023-01-01,154873713,NY,2022-11-19,2022-11-19,2022-11-20,BCUSA22N,7086400,BETTING,0.0,87.0,14.96,2
2023-01-01,156112126,OH,2023-01-02,2023-01-12,2023-01-13,BCUSA22N,7086400,BETTING,0.0,0.0,0.0,0
2023-01-01,156814319,VA,2023-01-10,2023-01-10,2023-01-10,starsportsmx,7088147,BETTING,330.0,540.0,332.74,0
2023-01-01,157352627,OH,2023-01-26,2023-01-26,2023-01-29,actionnetwork,7088875,BETTING,10.0,135.0,-18.97,0
2023-01-01,157555808,WV,2023-01-30,2023-01-30,2023-01-30,starsportsmx,7077214,BETTING,10.0,95.75,9.14,0
2023-01-01,154838797,MD,2022-11-17,2022-11-19,2022-11-25,actionnetwork,7039239,BETTING,315.0,313.0,-208.06,2
2023-01-01,155318108,NY,2022-12-02,2022-12-02,2022-12-04,BCUSA22N,7092852,BETTING,0.0,1.5,1.5,1
2023-01-01,157062099,IS,2023-01-18,2023-01-19,2023-01-19,actionnetwork,7085836,BETTING,10.0,210.0,209.78,0
2023-01-01,156585876,IS,2023-01-07,2023-01-07,2023-01-08,actionnetwork,7088875,BETTING,100.0,300.0,133.58,0
2023-01-01,156098366,OH,2023-01-02,2023-01-02,2023-02-01,starsportsmx,7080479,BETTING,10.0,0.0,-0.22,0
2023-01-01,157027317,KS,2023-01-17,2023-01-17,2023-01-18,actionnetwork,7090703,BETTING,10.0,273.0,-11.9,0
2023-01-01,157284031,OH,2023-01-23,2023-01-24,2023-01-24,actionnetwork,7074086,BETTING,10.0,25.0,24.78,0
2023-01-01,155973352,OH,2022-12-31,2022-12-31,2023-01-01,starsportsmx,7080479,BETTING,0.0,110.0,100.0,1
2023-01-01,155806938,OH,2022-12-27,2023-01-01,2023-01-01,BCUSA22N,7087246,BETTING,25.0,70.0,23.95,0
2023-01-01,157190615,GM,2023-01-22,2023-01-24,2023-01-24,BCUSA22N,7088371,BETTING,50.0,113.25,54.94,0
2023-01-01,155958377,OH,2022-12-31,2023-01-01,2023-01-01,starsportsmx,7077216,BETTING,20.0,175.0,107.06,0
2023-01-01,155227070,OH,2022-11-29,2023-01-01,2023-01-01,starsportsmx,7080479,BETTING,100.0,225.0,-229.47,0
2023-01-01,156925234,IS,2023-01-14,2023-01-14,2023-01-14,actionnetwork,7088876,BETTING,240.0,626.49,360.48,0
2023-01-01,153424149,KS,2022-09-01,2022-09-01,2022-09-02,BCUSA22N,7086829,BETTING,0.0,50.0,45.0,4
2023-01-01,156177962,OH,2023-01-04,2023-01-10,2023-01-11,actionnetwork,7090700,BETTING,10.0,215.0,6.33,0
2023-01-01,155976211,OH,2022-12-31,2023-01-06,2023-01-06,BCUSA22N,7087248,BETTING,30.0,453.0,114.16,0
2023-01-01,156854937,OH,2023-01-12,2023-01-12,2023-01-13,actionnetwork,7088940,BETTING,10.0,30.0,19.78,0
2023-01-01,155839355,MD,2022-12-28,2022-12-28,2022-12-28,actionnetwork,7085871,BETTING,0.0,10.0,10.0,1
2023-01-01,156971312,OH,2023-01-16,2023-01-16,2023-01-16,BCUSA22N,7088469,BETTING,100.0,120.0,117.8,0
2023-01-01,154056798,CO,2022-09-19,2022-09-24,2022-09-25,starsportsmx,7080479,BETTING,10.0,20.0,-6.16,4
2023-01-01,155972603,OH,2022-12-31,2023-01-06,2023-01-06,starsportsmx,7077214,BETTING,10.0,253.48,159.78,0
2023-01-01,157050055,AZ,2023-01-18,2023-01-18,2023-01-18,BCUSA22N,7086400,BETTING,110.0,168.0,-125.92,0
2023-01-01,153446549,IN,2022-09-02,2022-09-02,2022-09-02,actionnetwork,7042803,BETTING,50.0,23025.4,-722.46,4
2023-01-01,157579039,OH,2023-01-31,2023-01-31,2023-01-31,actionnetwork,7090700,BETTING,10.0,210.0,116.3,0
2023-01-01,157320630,OH,2023-01-24,2023-01-24,2023-01-24,starsportsmx,7077214,BETTING,10.0,5.0,4.78,0
2023-01-01,154824659,MD,2022-11-17,2022-11-17,2022-11-24,starsportsmx,7077216,BETTING,0.0,10.0,10.0,2
2023-01-01,155894203,OH,2022-12-30,2022-12-30,2023-01-01,actionnetwork,7074086,BETTING,0.0,464.83,172.73,1
2023-01-01,151718174,MI,2022-05-20,2022-10-06,2022-10-06,starsportsmx,7077216,BETTING,0.0,146.0,-39.33,3
2023-01-01,155071809,IS,2022-11-24,2022-11-25,2022-11-26,BCUSA22N,7086400,BETTING,95.2,115.6,103.11,2
2023-01-01,156921301,LA,2023-01-14,2023-01-14,2023-01-14,actionnetwork,7088875,BETTING,10.0,210.0,154.78,0
2023-01-01,154448663,CO,2022-10-23,2022-10-23,2022-10-23,starsportsmx,7080479,BETTING,20.0,20.0,17.56,3
2023-01-01,152795159,NY,2022-07-02,2022-07-02,2023-04-23,starsportsmx,7077216,BETTING,0.0,25.0,0.0,6
2023-01-01,154932265,MD,2022-11-21,2022-11-21,2022-11-23,starsportsmx,7080479,BETTING,80.0,80.0,73.24,2
2023-01-01,155295653,OH,2022-12-02,2022-12-07,2023-01-01,actionnetwork,7075925,BETTING,0.0,408.15,-136.35,1
2023-01-01,155349093,MD,2022-12-04,2022-12-19,2022-12-19,starsportsmx,7080479,BETTING,20.0,65.0,39.56,1
2023-01-01,157121125,OH,2023-01-21,2023-01-21,2023-01-21,BCUSA22N,7087246,BETTING,10.0,50.0,19.78,0
2023-01-01,155730496,IN,2022-12-23,2022-12-23,2022-12-25,BCUSA22N,7094157,BETTING,0.0,190.0,171.0,1
2023-01-01,156194896,LA,2023-01-05,2023-01-05,2023-01-06,actionnetwork,7083318,BETTING,30.0,285.14,203.33,0
2023-01-01,155991975,OH,2023-01-01,2023-01-01,2023-01-01,BCUSA22L,7029688,BETTING,20.0,75.0,64.56,0
2023-01-01,154169000,IS,2022-09-29,2022-09-29,2022-09-29,actionnetwork,7088875,BETTING,20.0,172.44,79.56,4
2023-01-01,154945676,AZ,2022-11-21,2022-11-21,2022-11-21,BCUSA22NP,7088377,BETTING,75.0,100.0,-20.77,2
2023-01-01,155641438,OH,2022-12-18,2023-01-05,2023-01-05,actionnetwork,7039239,BETTING,10.0,240.0,169.78,0
2023-01-01,157054608,OH,2023-01-18,2023-01-18,2023-01-18,actionnetwork,7075925,BETTING,10.0,10.0,9.78,0
2023-01-01,154242619,MI,2022-10-06,2022-10-06,2022-10-06,starsportsmx,7080479,BETTING,0.0,0.0,0.0,3
2023-01-01,156030518,MD,2023-01-01,2023-01-01,2023-01-01,actionnetwork,7083318,BETTING,25.0,71.0,-16.48,0
2023-01-01,154436202,GM,2022-10-22,2022-10-22,2022-10-22,starsportsmx,7077218,BETTING,50.0,194.5,-71.0,3
2023-01-01,154311003,ER,2022-10-09,2022-10-09,2022-10-09,starsportsmx,7047070,CASINO,0.0,0.0,0.0,3
2023-01-01,157090117,OH,2023-01-20,2023-01-20,2023-01-22,actionnetwork,7074086,BETTING,10.0,110.38,9.42,0
2023-01-01,156973965,IA,2023-01-16,2023-01-16,2023-01-16,actionnetwork,7085836,BETTING,10.0,210.0,195.6,0
2023-01-01,154749888,MD,2022-11-14,2022-11-14,2022-11-24,starsportsmx,7071216,BETTING,0.0,60.0,60.0,2
2023-01-01,157070890,OH,2023-01-19,2023-01-19,2023-01-29,actionnetwork,7088875,BETTING,85.0,225.0,173.13,0
2023-01-01,156031173,OH,2023-01-01,2023-01-20,2023-01-20,starsportsmx,7077216,BETTING,25.0,208.84,27.3,0
2023-01-01,156773174,OH,2023-01-09,2023-01-09,2023-01-11,actionnetwork,7074086,BETTING,10.0,10.0,9.78,0
2023-01-01,155978443,OH,2022-12-31,2022-12-31,2023-01-01,starsportsmx,7077214,BETTING,0.0,95.0,16.5,1
2023-01-01,157557362,OH,2023-01-30,2023-01-30,2023-02-01,actionnetwork,7088875,BETTING,10.0,0.0,-0.22,0
2023-01-01,154320846,KS,2022-10-10,2022-10-10,2022-10-10,BCUSA22N,7088372,BETTING,0.0,10.0,9.0,3
2023-01-01,157358107,KS,2023-01-26,2023-01-26,2023-01-31,starsportsmx,7077214,BETTING,10.0,60.0,36.95,0
2023-01-01,156552163,IN,2023-01-06,2023-01-06,2023-01-06,actionnetwork,7084488,BETTING,20.0,220.0,219.56,0
2023-01-01,157578411,NY,2023-01-31,2023-01-31,2023-01-31,starsportsmx,7077216,BETTING,10.0,10.0,4.68,0
2023-01-01,155875300,OH,2022-12-29,2022-12-29,2023-01-01,BCUSA22NP,7085648,BETTING,0.0,200.0,97.5,1
2023-01-01,155320409,MD,2022-12-03,2022-12-03,2022-12-03,starsportsmx,7080479,BETTING,0.0,10.0,10.0,1
2023-01-01,153565612,NY,2022-09-07,2022-09-07,2022-09-07,BCUSA22NP,7072277,BETTING,0.0,211.0,8.73,4
2023-01-01,156023123,OH,2023-01-01,2023-01-01,2023-01-01,starsportsmx,7080479,BETTING,50.0,169.8,-2.35,0
2023-11-01,185375722,OH,2023-11-25,2023-11-25,2023-11-25,actionnetwork,7106987,BETTING,10.0,210.0,167.78,0
2023-11-01,184249105,IS,2023-11-09,2023-11-09,2023-11-11,starsportsmx,7080482,BETTING,160.0,359.66,41.48,0
2023-11-01,185579650,IA,2023-11-30,2023-11-30,2023-11-30,BCUSA22NP,7106981,BETTING,10.0,110.0,75.46,0
2023-11-01,154050547,PA,2022-09-18,2023-01-14,2023-01-14,actionnetwork,7085836,BETTING,0.0,0.0,-10.0,10
2023-11-01,155864573,IN,2022-12-29,2022-12-29,2022-12-29,starsportsmx,7077214,BETTING,120.0,130.0,101.36,11
2023-11-01,161290702,MA,2023-07-22,2023-07-27,2023-07-23,BCUSA22L,7037834,BETTING,0.0,21.7,15.19,4
2023-11-01,185408284,TN,2023-11-25,2023-11-25,2023-11-25,BCUSA22NP,7106979,BETTING,20.0,210.0,-160.8,0
2023-11-01,162483505,OH,2022-12-29,2022-12-29,2023-01-02,BCUSA22NP,7085762,BETTING,0.0,10.0,8.0,11
